Cidade,Faixa_Etaria,Genero,KPI_Volume_Demanda,KPI_Taxa_Conversao,KPI_Score_Propensao
AGUAS DA PRATA,51-60 ANOS,FEMININO,5.0,0.0184,0.0232
AGUAS DA PRATA,51-60 ANOS,MASCULINO,9.0,0.0356,0.0384
AGUAS DA PRATA,61-70 ANOS,FEMININO,3.0,0.0126,0.0131
AGUAS DA PRATA,61-70 ANOS,MASCULINO,5.0,0.0163,0.0148
AGUAS DA PRATA,71-80 ANOS,FEMININO,0.0,0.0,0.0018
AGUAS DA PRATA,71-80 ANOS,MASCULINO,3.0,0.0136,0.0126
AGUAS DA PRATA,81-90 ANOS,FEMININO,0.0,0.0,0.0006
AGUAS DA PRATA,81-90 ANOS,MASCULINO,1.0,0.0096,0.0076
AGUAS DA PRATA,91-100 ANOS,FEMININO,0.0,0.0,0.0
AGUAS DA PRATA,91-100 ANOS,MASCULINO,0.0,0.0,0.0
AGUAS DE LINDOIA,101-120 ANOS,FEMININO,0.0,0.0,0.0
AGUAS DE LINDOIA,101-120 ANOS,MASCULINO,0.0,0.0,0.0
AGUAS DE LINDOIA,18-21 ANOS,FEMININO,329.0,0.9536,0.8932
AGUAS DE LINDOIA,18-21 ANOS,MASCULINO,401.0,0.9548,0.8971
AGUAS DE LINDOIA,22-25 ANOS,FEMININO,342.0,0.698,0.6312
AGUAS DE LINDOIA,22-25 ANOS,MASCULINO,375.0,0.641,0.621
AGUAS DE LINDOIA,26-30 ANOS,FEMININO,221.0,0.3044,0.2808
AGUAS DE LINDOIA,26-30 ANOS,MASCULINO,224.0,0.2755,0.2603
AGUAS DE LINDOIA,31-40 ANOS,FEMININO,280.0,0.1724,0.1333
AGUAS DE LINDOIA,31-40 ANOS,MASCULINO,263.0,0.1586,0.1228
AGUAS DE LINDOIA,41-50 ANOS,FEMININO,173.0,0.1107,0.0866
AGUAS DE LINDOIA,41-50 ANOS,MASCULINO,141.0,0.096,0.0842
AGUAS DE LINDOIA,51-60 ANOS,FEMININO,68.0,0.0636,0.0522
AGUAS DE LINDOIA,51-60 ANOS,MASCULINO,72.0,0.0698,0.0625
AGUAS DE LINDOIA,61-70 ANOS,FEMININO,35.0,0.0489,0.0399
AGUAS DE LINDOIA,61-70 ANOS,MASCULINO,31.0,0.0416,0.0324
AGUAS DE LINDOIA,71-80 ANOS,FEMININO,6.0,0.016,0.0119
AGUAS DE LINDOIA,71-80 ANOS,MASCULINO,12.0,0.0223,0.0184
AGUAS DE LINDOIA,81-90 ANOS,FEMININO,0.0,0.0,0.0011
AGUAS DE LINDOIA,81-90 ANOS,MASCULINO,3.0,0.0146,0.0116
AGUAS DE LINDOIA,91-100 ANOS,FEMININO,0.0,0.0,0.0
AGUAS DE LINDOIA,91-100 ANOS,MASCULINO,0.0,0.0,0.0
AGUAS DE SANTA BARBARA,101-120 ANOS,MASCULINO,0.0,0.0,0.0
AGUAS DE SANTA BARBARA,18-21 ANOS,FEMININO,47.0,1.0,0.9624
AGUAS DE SANTA BARBARA,18-21 ANOS,MASCULINO,75.0,0.9868,0.9687
AGUAS DE SANTA BARBARA,22-25 ANOS,FEMININO,62.0,0.6813,0.6716
AGUAS DE SANTA BARBARA,22-25 ANOS,MASCULINO,66.0,0.6947,0.6561
AGUAS DE SANTA BARBARA,26-30 ANOS,FEMININO,53.0,0.3557,0.317
AGUAS DE SANTA BARBARA,26-30 ANOS,MASCULINO,42.0,0.2897,0.2883
AGUAS DE SANTA BARBARA,31-40 ANOS,FEMININO,43.0,0.1429,0.1358
AGUAS DE SANTA BARBARA,31-40 ANOS,MASCULINO,28.0,0.1029,0.1124
AGUAS DE SANTA BARBARA,41-50 ANOS,FEMININO,19.0,0.0601,0.0708
AGUAS DE SANTA BARBARA,41-50 ANOS,MASCULINO,18.0,0.0711,0.082
AGUAS DE SANTA BARBARA,51-60 ANOS,FEMININO,15.0,0.0647,0.0597
AGUAS DE SANTA BARBARA,51-60 ANOS,MASCULINO,14.0,0.0714,0.0702
AGUAS DE SANTA BARBARA,61-70 ANOS,FEMININO,7.0,0.0407,0.0362
AGUAS DE SANTA BARBARA,61-70 ANOS,MASCULINO,1.0,0.0049,0.0187
AGUAS DE SANTA BARBARA,71-80 ANOS,FEMININO,2.0,0.0235,0.0178
AGUAS DE SANTA BARBARA,71-80 ANOS,MASCULINO,3.0,0.0174,0.0191
AGUAS DE SANTA BARBARA,81-90 ANOS,FEMININO,0.0,0.0,0.0016
AGUAS DE SANTA BARBARA,81-90 ANOS,MASCULINO,1.0,0.0169,0.0138
AGUAS DE SANTA BARBARA,91-100 ANOS,FEMININO,0.0,0.0,0.0
AGUAS DE SANTA BARBARA,91-100 ANOS,MASCULINO,0.0,0.0,0.0
AGUAS DE SAO PEDRO,101-120 ANOS,MASCULINO,0.0,0.0,0.0
AGUAS DE SAO PEDRO,18-21 ANOS,FEMININO,25.0,0.6757,0.6818
AGUAS DE SAO PEDRO,18-21 ANOS,MASCULINO,17.0,0.4146,0.5849
